make,model,year,bodytype,trim,price,mpg_city,mpg_hwy,mpg_comb,Fuel Type,hp,Engine,torque_lbft,cargo_cuft,0 - 60,curb_weight_lbs,Drivetrain,Transmission Type,Recommended Fuel,Fuel Capacity,Wheel Base,Overall Length,Front Head Room,Front Leg Room,Front Shoulder Room,Width with mirrors,Turning Diameter,Blind-Spot Alert,Collision Warning System,Child Seat Anchors,Child Door Locks,Traction Control,Bluetooth Wireless Technology,Cruise Control,Remote Keyless Entry,Remote Engine Start,Smartphone Interface,Internet Access,Navigation System,Voice Recognition System,Real-Time Traffic Information,Hands Free Phone,Premium Radio,Bluetooth Streaming Audio,Satellite Radio,Remote Control Liftgate/Trunk Release,Heated Mirrors,Leather Seats,Folding Rear Seat,Dual Power Front Seats,Power Driver's Seat,Leather-Wrapped Steering Wheel,Power Outlet,Power Windows,Rear Window Defroster,Steering Wheel Controls,Tilt Steering Wheel,Tilt/Telescoping Steering Wheel,Cup Holder Count,Alloy Wheels,Fog Lights,Power Folding Exterior Mirrors,Rear Spoiler,Rain Sensing Windshield Wipers,Alarm System,Dual-Clutch Automatic Transmission,Hill Start Assist,Stability Control
Toyota,Corolla,2017,Default,Corolla LE Eco Sedan 4D,12650,30,40,34,Gas,140,"4-Cyl, Valvematic, 1.8 Liter",126,13.0,,2855,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.6 inches,38.3 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Standard,,Optional,Optional,Optional,Standard,Not Available,Standard,Standard,Standard,Optional,Standard,Standard,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,,,Standard,,,,Standard,Standard
Toyota,Corolla,2017,Default,Corolla LE Sedan 4D,12850,28,36,32,Gas,132,"4-Cyl, 1.8 Liter",128,13.0,,2855,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.6 inches,38.3 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Standard,,Optional,Optional,Optional,Standard,Not Available,Standard,Standard,Standard,Optional,Standard,Standard,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,,,Not Available,,,,Standard,Standard
Toyota,Corolla,2017,Default,Corolla L Sedan 4D,13100,28,36,32,Gas,132,"4-Cyl, 1.8 Liter",128,13.0,,2820,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.6 inches,38.3 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Not Available,,Not Available,Not Available,Not Available,Standard,Not Available,Standard,Standard,Standard,Not Available,Not Available,Not Available,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,,,Not Available,,,,Standard,Standard
Toyota,Corolla,2017,Default,Corolla SE Sedan 4D,13300,28,36,32,Gas,132,"4-Cyl, 1.8 Liter",128,13.0,,2865,FWD,Automatic,Regular,13.2 gallons,106.3 inches,183.1 inches,38.3 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Standard,,Optional,Optional,Optional,Standard,Not Available,Standard,Standard,Standard,Optional,Standard,Standard,,Standard,,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,Corolla,2017,Default,Corolla XLE Sedan 4D,13450,28,36,32,Gas,132,"4-Cyl, 1.8 Liter",128,13.0,,2855,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.6 inches,38 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Not Available,,,,Standard,Standard
Toyota,Corolla,2017,Default,Corolla XSE Sedan 4D,13500,28,36,32,Gas,132,"4-Cyl, 1.8 Liter",128,13.0,,2865,FWD,Automatic,Regular,13.2 gallons,106.3 inches,183.1 inches,38 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,Corolla,2017,Default,Corolla 50th Anniversary Special Edition Sedan 4D,13900,28,36,32,Gas,132,"4-Cyl, 1.8 Liter",128,13.0,,2865,FWD,Automatic,Regular,13.2 gallons,106.3 inches,183.1 inches,38.3 inches,42.3 inches,54.8 inches,69.9 inches,35.6 feet,,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,Corolla,2020,Default,Corolla L Sedan 4D,14900,30,38,33,Gas,139,"4-Cyl, 1.8 Liter",126,13.1,,2910,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.3 inches,38.3 inches,42 inches,54 inches,70.1 inches,35.6 feet,Not Available,,Standard,Standard,Standard,Standard,Standard,Not Available,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Not Available,Standard,Not Available,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,,,Not Available,,,,Standard,Standard
Toyota,Corolla,2020,Default,Corolla LE Sedan 4D,15300,30,38,33,Gas,139,"4-Cyl, 1.8 Liter",126,13.1,,2955,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.3 inches,38.3 inches,42 inches,54 inches,70.1 inches,35.6 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Not Available,Standard,Standard,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,,,Not Available,,,,Standard,Standard
Toyota,Corolla,2020,Default,Corolla SE Sedan 4D,16350,31,40,34,Gas,169,"4-Cyl, 2.0 Liter",151,13.1,,3110,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.5 inches,38.3 inches,42 inches,54 inches,70.1 inches,35.6 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Not Available,Standard,Standard,,Standard,,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
